Comment,Designator,Footprint,LCSC
1k,"R1,R5",C_0402_1005Metric,C11702
100nF,"C11,C12,C13,C14,C15,C16,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C6,C7,C9",C_0402_1005Metric,C1525
22pF,"C2,C3",C_0402_1005Metric,C1555
10uF,C17,C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
27.4,"R3,R4",C_0603_1608Metric,C25190
10k,R8,C_0402_1005Metric,C25744
5.1k,"R6,R7",C_0402_1005Metric,C25905
TS-1187A-B-A-B,S1,SW_TS-1187A-B-A-B,C318884
1uF,"C1,C10,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23,C5446
Thermistor_PTC,TH1,Fuse_1206_3216Metric,C70076
74AHCT1G125,U5,SOT-23-5,C7484
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D6,D7,D8,D9",D_SOD-123,C81598
SRV05-4,U4,SOT-23-6-routable,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,"U2,U3",SOIC-8_5.23x5.23mm_P1.27mm,C97521
